datetime,open,high,low,close,volume
2021-01-04,6016.15,6091.7,5974.1,6086.25,0
2021-01-05,6051.05,6151.35,6020.2,6141.4,0
2021-01-06,6165.1,6233.15,6098.15,6191.7,0
2021-01-07,6252.25,6357.5,6245.0,6320.7,0
2021-01-08,6384.15,6410.0,6351.25,6389.7,0
2021-01-11,6420.0,6428.35,6302.3,6359.75,0
2021-01-12,6347.05,6460.1,6322.65,6427.7,0
2021-01-13,6472.35,6504.75,6275.3,6385.15,0
2021-01-14,6398.8,6424.55,6345.75,6390.9,0
2021-01-15,6404.2,6438.0,6252.45,6328.3,0
2021-01-18,6330.15,6331.6,6106.55,6164.4,0
2021-01-19,6209.05,6361.85,6207.7,6347.3,0
2021-01-20,6367.15,6444.1,6352.15,6437.15,0
2021-01-21,6486.4,6512.6,6291.5,6331.75,0
2021-01-22,6346.55,6399.9,6209.2,6244.0,0
2021-01-25,6326.1,6352.2,6120.45,6183.6,0
2021-01-27,6180.2,6181.15,6055.1,6069.15,0
2021-01-28,5971.5,6096.95,5968.85,6046.3,0
2021-01-29,6119.9,6160.75,5977.5,6002.65,0
2021-02-01,6041.55,6293.75,5946.5,6279.45,0
2021-02-02,6349.45,6489.15,6345.6,6468.7,0
2021-02-03,6518.35,6642.9,6457.1,6584.6,0
2021-02-04,6596.7,6713.4,6559.8,6698.35,0
2021-02-05,6745.2,6771.4,6550.8,6581.4,0
2021-02-08,6634.55,6710.2,6632.35,6695.9,0
2021-02-09,6721.45,6748.6,6642.05,6674.15,0
2021-02-10,6693.6,6769.15,6650.05,6749.95,0
2021-02-11,6732.7,6782.45,6723.5,6758.45,0
2021-02-12,6761.4,6795.6,6702.25,6739.1,0
2021-02-15,6781.85,6876.9,6765.55,6859.65,0
2021-02-16,6883.45,6922.25,6821.6,6885.5,0
2021-02-17,6876.05,6945.75,6862.15,6907.6,0
2021-02-18,6939.45,6972.65,6895.1,6927.15,0
2021-02-19,6916.2,6945.55,6688.75,6767.75,0
2021-02-22,6785.45,6812.65,6627.45,6665.85,0
2021-02-23,6698.95,6782.15,6638.2,6762.95,0
2021-02-24,6800.25,6828.2,6746.6,6815.4,0
2021-02-25,6893.0,6976.0,6890.65,6959.6,0
2021-02-26,6853.9,6934.7,6744.55,6796.5,0
2021-03-01,6859.3,6929.6,6827.15,6914.0,0
2021-03-02,6964.75,7046.45,6951.25,7033.05,0
2021-03-03,7097.65,7162.6,7081.45,7151.05,0
2021-03-04,7075.7,7208.9,7047.0,7165.0,0
2021-03-05,7138.3,7149.85,6913.15,6964.85,0
2021-03-08,7027.35,7061.1,6965.2,6977.6,0
2021-03-09,7020.45,7047.75,6870.9,6931.65,0
2021-03-10,6992.75,7019.8,6945.65,6996.95,0
2021-03-12,7059.4,7089.7,6931.45,6964.75,0
2021-03-15,7004.2,7004.2,6812.75,6926.95,0
2021-03-16,6952.65,6976.85,6905.0,6937.05,0
2021-03-17,6940.15,6953.85,6722.7,6741.85,0
2021-03-18,6808.9,6850.25,6580.2,6650.5,0
2021-03-19,6596.25,6772.3,6468.05,6753.25,0
2021-03-22,6752.3,6815.6,6713.95,6797.1,0
2021-03-23,6824.55,6882.45,6817.25,6862.7,0
2021-03-24,6833.1,6877.85,6678.9,6694.65,0
2021-03-25,6715.95,6720.15,6475.55,6550.95,0
2021-03-26,6632.9,6726.05,6628.85,6681.2,0
2021-03-30,6755.3,6779.5,6706.35,6761.8,0
2021-03-31,6766.55,6802.35,6732.45,6772.1,0
2021-04-01,6832.05,6930.25,6789.4,6917.35,0
2021-04-05,6905.95,6906.05,6654.25,6767.7,0
2021-04-06,6807.25,6855.45,6732.9,6816.4,0
