datetime,open,high,low,close,volume
2021-01-04,19.56,21.03,19.34,20.03,0
2021-01-05,20.03,21.01,20.03,20.46,0
2021-01-06,20.46,21.63,20.43,21.0,0
2021-01-07,21.0,21.0,20.14,20.62,0
2021-01-08,20.62,20.85,17.38,20.64,0
2021-01-11,20.64,22.75,20.64,22.38,0
2021-01-12,22.38,23.26,22.29,22.85,0
2021-01-13,22.85,24.05,22.37,23.29,0
2021-01-14,23.29,23.7,22.81,23.03,0
2021-01-15,23.03,24.68,23.03,24.01,0
2021-01-18,24.01,25.41,23.57,24.4,0
2021-01-19,24.4,24.4,20.36,22.9,0
2021-01-20,22.9,23.19,19.33,21.55,0
2021-01-21,21.55,22.78,18.62,22.18,0
2021-01-22,22.18,23.04,18.73,22.42,0
2021-01-25,22.42,23.81,20.34,23.25,0
2021-01-27,23.25,24.75,20.83,24.39,0
2021-01-28,24.39,25.3,23.44,24.29,0
2021-01-29,24.29,25.99,22.08,25.34,0
2021-02-01,25.34,25.93,22.6,23.32,0
2021-02-02,23.32,23.61,21.0,23.35,0
2021-02-03,23.35,24.2,20.95,23.75,0
2021-02-04,23.75,23.93,22.09,23.12,0
2021-02-05,23.12,23.94,20.08,23.42,0
2021-02-08,23.42,24.35,22.18,23.96,0
2021-02-09,23.96,24.47,21.43,24.27,0
2021-02-10,24.27,24.96,20.91,23.95,0
2021-02-11,23.95,24.22,21.02,23.05,0
2021-02-15,22.04,22.39,20.82,21.48,0
2021-02-16,21.48,22.12,20.54,21.78,0
2021-02-17,21.78,21.88,21.1,21.51,0
2021-02-18,21.51,22.09,19.96,21.54,0
2021-02-19,21.54,22.87,19.35,22.25,0
2021-02-22,22.25,25.82,20.02,25.47,0
2021-02-23,25.47,25.64,23.86,25.23,0
2021-02-24,25.23,25.23,23.48,24.17,0
2021-02-25,24.17,24.17,22.63,22.89,0
2021-02-26,22.89,29.65,22.89,28.14,0
2021-03-01,28.14,28.14,24.95,25.63,0
2021-03-02,25.63,25.63,23.21,23.61,0
2021-03-03,23.61,23.61,21.82,22.09,0
2021-03-04,22.09,24.58,22.09,24.15,0
2021-03-05,24.15,26.41,22.86,25.56,0
2021-03-08,25.56,25.65,21.2,24.68,0
2021-03-09,24.68,24.68,21.44,22.5,0
2021-03-10,22.5,22.5,19.32,20.75,0
2021-03-12,20.75,22.67,18.54,21.71,0
2021-03-15,21.71,22.93,21.0,21.23,0
2021-03-16,21.23,21.23,18.06,20.19,0
2021-03-17,20.19,20.42,18.62,20.16,0
2021-03-18,20.16,20.95,16.68,20.08,0
2021-03-19,20.08,21.87,18.73,19.99,0
2021-03-22,19.99,21.23,18.97,20.49,0
2021-03-23,20.49,22.14,20.49,20.67,0
2021-03-24,20.67,22.69,19.75,22.46,0
2021-03-25,22.46,23.31,21.12,22.7,0
2021-03-26,22.7,22.92,18.23,20.65,0
2021-03-31,20.49,20.83,20.0,20.65,0
2021-04-01,20.65,20.68,19.73,19.99,0
2021-04-05,19.99,23.31,19.99,21.22,0
2021-04-06,21.22,22.24,19.81,20.84,0
2021-04-07,20.84,21.3,19.43,20.25,0
2021-04-08,20.25,20.59,19.17,20.31,0
2021-04-09,20.31,20.97,19.68,19.79,0
2021-04-12,19.79,23.3,19.79,23.0,0
2021-04-13,23.0,23.0,20.3,20.46,0
2021-04-15,20.46,21.55,18.25,20.89,0
2021-04-16,20.89,21.09,19.48,20.4,0
2021-04-19,20.4,23.11,19.81,22.49,0
2021-04-20,22.49,22.75,21.24,22.43,0
2021-04-22,22.43,23.61,22.43,23.03,0
2021-04-23,23.03,23.05,20.21,22.69,0
2021-04-26,22.69,23.56,22.62,23.5,0
2021-04-27,23.5,23.63,22.32,23.08,0
2021-04-28,23.08,23.11,20.97,22.58,0
2021-04-29,22.58,23.42,22.11,23.31,0
2021-04-30,23.31,23.77,22.6,23.03,0
2021-05-03,23.03,24.54,21.84,23.69,0
2021-05-04,23.69,23.69,22.18,23.01,0
2021-05-05,23.01,23.19,21.14,21.96,0
2021-05-06,21.96,22.61,20.12,22.04,0
2021-05-07,22.04,22.04,20.31,20.82,0
2021-05-10,20.82,21.15,20.14,20.23,0
2021-05-11,20.23,21.12,19.72,19.83,0
2021-05-12,19.83,20.91,18.36,20.08,0
2021-05-14,20.08,21.15,18.23,20.27,0
2021-05-17,20.27,20.43,18.36,19.61,0
2021-05-18,19.61,19.61,18.31,19.24,0
2021-05-19,19.24,19.57,17.23,19.32,0
2021-05-20,19.32,19.84,18.09,19.65,0
2021-05-21,19.65,19.65,17.13,19.08,0
2021-05-24,19.08,19.89,18.72,19.13,0
2021-05-25,19.13,21.05,17.69,18.84,0
2021-05-26,18.84,21.3,17.23,20.87,0
2021-05-27,20.87,21.32,18.35,19.91,0
2021-05-28,19.91,19.91,17.36,17.4,0
2021-05-31,17.4,17.99,16.43,16.89,0
2021-06-01,16.89,17.96,15.31,17.39,0
2021-06-02,17.39,17.65,15.17,17.21,0
2021-06-03,17.21,17.21,14.15,15.75,0
2021-06-04,15.75,16.38,14.94,15.94,0
2021-06-07,15.94,15.94,14.74,15.57,0
2021-06-08,15.57,15.6,13.57,15.23,0
2021-06-09,15.23,15.74,11.95,14.75,0
2021-06-10,14.75,15.2,14.18,15.0,0
2021-06-11,15.0,15.0,13.94,14.1,0
2021-06-14,14.1,15.31,13.74,14.72,0
2021-06-15,14.72,15.16,13.28,14.61,0
2021-06-16,14.61,15.32,13.62,14.87,0
2021-06-17,14.87,16.05,14.53,15.29,0
2021-06-18,15.29,16.62,10.6,14.8,0
2021-06-21,14.8,16.46,14.38,15.06,0
2021-06-22,15.06,15.11,14.43,14.74,0
2021-06-23,14.74,15.54,13.63,15.37,0
2021-06-24,15.37,15.64,14.93,15.1,0
2021-06-25,15.1,15.27,13.28,13.37,0
2021-06-28,13.37,13.77,13.12,13.4,0
2021-06-29,13.4,13.4,12.9,13.0,0
2021-06-30,13.0,13.14,12.6,13.05,0
2021-07-01,13.05,13.28,12.33,12.84,0
2021-07-02,12.84,13.02,12.02,12.09,0
2021-07-05,12.09,12.62,11.99,12.07,0
2021-07-06,12.07,12.36,11.29,12.28,0
2021-07-07,12.28,12.59,11.15,12.21,0
2021-07-08,12.21,14.01,12.06,13.56,0
2021-07-09,13.56,14.0,12.18,12.94,0
2021-07-12,12.94,13.61,11.81,12.99,0
2021-07-13,12.99,12.99,10.67,12.62,0
2021-07-14,12.62,12.96,10.49,12.59,0
2021-07-15,12.59,12.95,11.08,12.27,0
2021-07-16,12.27,12.37,11.63,11.71,0
2021-07-19,11.71,13.2,11.71,12.68,0
2021-07-20,12.68,14.09,11.79,13.21,0
2021-07-22,13.21,13.21,11.72,11.89,0
2021-07-23,11.89,12.12,11.57,11.76,0
2021-07-26,11.76,12.54,10.4,12.45,0
2021-07-27,12.45,13.53,12.1,13.23,0
2021-07-28,13.23,15.98,11.36,13.69,0
2021-07-29,13.69,13.69,12.44,12.95,0
2021-07-30,12.95,13.32,12.18,12.8,0
2021-08-02,12.8,13.09,11.52,12.81,0
2021-08-03,12.81,13.91,11.96,13.75,0
2021-08-04,13.75,14.06,12.65,13.21,0
2021-08-05,13.21,13.42,11.2,12.87,0
2021-08-06,12.87,13.16,11.64,12.61,0
2021-08-09,12.61,13.11,12.03,12.61,0
2021-08-10,12.61,13.07,9.98,12.71,0
2021-08-11,12.71,13.33,10.47,12.71,0
2021-08-12,12.71,12.82,11.36,12.37,0
2021-08-13,12.37,13.16,11.4,12.99,0
2021-08-16,12.99,13.66,11.38,13.46,0
2021-08-17,13.46,13.61,12.03,13.41,0
2021-08-18,13.41,13.41,11.12,12.91,0
2021-08-20,12.91,14.14,12.35,14.02,0
2021-08-23,14.02,14.44,12.73,13.69,0
2021-08-24,13.69,14.51,13.1,13.19,0
2021-08-25,13.19,13.97,12.27,13.5,0
2021-08-26,13.5,14.2,12.11,13.54,0
2021-08-27,13.54,13.76,12.94,13.41,0
2021-08-30,13.41,13.69,12.4,13.32,0
2021-08-31,13.32,14.77,12.64,14.52,0
2021-09-01,14.52,15.63,13.9,14.19,0
2021-09-02,14.19,14.39,13.61,14.24,0
2021-09-03,14.24,14.65,13.58,14.54,0
2021-09-06,14.54,15.28,14.06,15.11,0
2021-09-07,15.11,15.23,14.59,14.9,0
2021-09-08,14.9,15.06,12.49,14.41,0
2021-09-09,14.41,14.41,13.64,13.94,0
2021-09-13,13.94,14.78,11.92,14.03,0
2021-09-14,14.03,14.03,10.87,13.58,0
2021-09-15,13.58,13.88,12.37,13.73,0
2021-09-16,13.73,14.53,9.03,14.41,0
2021-09-17,14.41,15.65,12.14,15.23,0
2021-09-20,15.23,17.81,10.23,17.49,0
2021-09-21,17.49,18.0,13.0,16.52,0
2021-09-22,16.52,16.86,13.28,16.49,0
2021-09-23,16.49,16.94,10.31,16.6,0
2021-09-24,16.6,17.33,12.77,16.92,0
2021-09-27,16.92,18.14,13.52,18.05,0
2021-09-28,18.05,18.57,15.37,18.54,0
2021-09-29,18.54,19.44,16.76,18.84,0
2021-09-30,18.84,19.14,17.15,18.4,0
2021-10-01,18.4,19.08,17.0,17.21,0
2021-10-04,17.21,17.53,15.32,16.74,0
2021-10-05,16.74,17.13,16.3,16.4,0
2021-10-06,16.4,17.59,16.11,17.33,0
2021-10-07,17.33,17.33,14.45,16.16,0
2021-10-08,16.16,16.4,15.53,15.65,0
2021-10-11,15.65,16.41,12.23,16.09,0
2021-10-12,16.09,16.4,13.94,15.85,0
2021-10-13,15.85,16.22,13.38,16.1,0
2021-10-14,16.1,16.29,12.61,15.77,0
2021-10-18,15.77,17.32,14.16,17.19,0
2021-10-19,17.19,17.54,14.24,17.38,0
2021-10-20,17.38,18.87,15.23,18.31,0
2021-10-21,18.31,18.8,14.91,18.04,0
2021-10-22,18.04,18.04,14.36,17.55,0
2021-10-25,17.55,18.76,14.51,17.61,0
2021-10-26,17.61,17.73,16.65,16.75,0
2021-10-27,16.75,17.03,15.4,16.83,0
2021-10-28,16.83,18.43,16.81,17.91,0
2021-10-29,17.91,19.64,16.28,17.43,0
2021-11-01,17.43,18.1,15.38,17.24,0
2021-11-02,17.24,17.79,16.36,17.06,0
2021-11-03,17.06,17.06,15.7,16.13,0
2021-11-04,16.13,16.41,14.31,15.75,0
2021-11-08,15.75,16.93,13.99,16.34,0
